58,82
169,206
189,208
71,109
73,97
7,37
75,105
93,120
66,94
116,139
127,150
130,159
42,71
11,45
50,87
198,236
5,43
55,83
192,224
7,85
97,138
42,70
111,131
227,254
91,125
152,176
94,130
13,50
228,255
74,96
151,171
54,85
184,221
159,189
52,79
38,66
14,59
209,234
107,130
177,206
96,134
128,138
68,94
6,44
77,106
119,145
82,108
76,95
64,85
7,50
149,180
151,186
89,118
43,67
137,184
8,47
200,231
136,158
92,123
86,109
106,148
58,92
118,157
6,45
0,46
42,76
137,168
21,50
94,114
10,53
59,96
65,101
89,118
12,49
208,228
45,87
50,83
67,92
79,124
156,194
51,81
57,82
120,153
159,210
10,35
177,199
40,64
72,99
172,192
8,33
93,123
119,149
85,133
32,57
35,67
131,155
223,255
233,255
48,85
49,87
