0,22
109,142
0,27
132,159
1,24
5,36
36,78
11,37
5,32
158,179
0,30
1,33
26,55
150,177
12,36
153,179
0,30
0,33
0,26
0,36
100,134
143,177
0,23
120,177
164,179
1,45
29,57
0,30
0,21
0,23
0,23
39,75
0,33
163,179
34,105
0,36
147,178
146,178
3,30
0,45
3,30
30,46
161,178
5,49
20,60
4,30
0,23
30,54
18,38
100,153
137,165
0,51
20,38
0,30
75,111
30,79
16,60
159,178
35,55
10,34
23,60
29,53
7,47
0,37
0,30
17,42
106,138
0,30
0,21
43,90
169,179
30,117
146,177
105,150
0,12
87,126
143,176
16,40
60,100
15,60
0,15
0,26
30,60
30,42
15,45
153,179
0,22
5,29
0,14
15,45
0,19
130,165
10,50
23,60
30,60
0,24
1,30
23,96
27,56
0,33
